Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
SLC30A6	ENSG00000152683	2:32165841-32224379:1	protein_coding	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	Barone 2020	1	.	0	yes
ANKRD22	ENSG00000152766	10:88819896-88851844:-1	protein_coding	ankyrin repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:28321]	.	0	Llonch 2021	1	yes
IFIT5	ENSG00000152778	10:89414568-89421605:1	protein_coding	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	.	0	Barone 2020	1	yes
HHEX	ENSG00000152804	10:92689955-92695647:1	protein_coding	hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]	Yuan 2021	1	.	0	yes
UTRN	ENSG00000152818	6:144285335-144853034:1	protein_coding	utrophin [Source:HGNC Symbol;Acc:HGNC:12635]	.	0	Llonch 2021	1	yes
PART1	ENSG00000152931	5:60487713-60548813:1	lncRNA	prostate androgen-regulated transcript 1 [Source:HGNC Symbol;Acc:HGNC:17263]	Barone 2020	1	.	0	yes
MARVELD2	ENSG00000152939	5:69415065-69444330:1	protein_coding	MARVEL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26401]	.	0	Grondahl 2010	1	yes
RAD17	ENSG00000152942	5:69369293-69414801:1	protein_coding	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	.	0	Steuerwald 2007	1	yes
NRSN1	ENSG00000152954	6:24126186-24154900:1	protein_coding	neurensin 1 [Source:HGNC Symbol;Acc:HGNC:17881]	.	0	Barone 2020	1	yes
ZIC1	ENSG00000152977	3:147393422-147510293:1	protein_coding	Zic family member 1 [Source:HGNC Symbol;Acc:HGNC:12872]	.	0	Llonch 2021	1	yes
LGI2	ENSG00000153012	4:24998847-25030946:-1	protein_coding	leucine rich repeat LGI family member 2 [Source:HGNC Symbol;Acc:HGNC:18710]	Pan 2008	1	.	0	yes
CENPH	ENSG00000153044	5:69189574-69210357:1	protein_coding	centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]	.	0	Barone 2020	1	yes
CDYL	ENSG00000153046	6:4706159-4955551:1	protein_coding	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]	.	0	Steuerwald 2007	1	yes
CARHSP1	ENSG00000153048	16:8852942-8869012:-1	protein_coding	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	Pan 2008	1	Hamatini 2004, Ntostis 2021	2	no
TEKT5	ENSG00000153060	16:10627501-10694930:-1	protein_coding	tektin 5 [Source:HGNC Symbol;Acc:HGNC:26554]	.	0	Ntostis 2021	1	yes
ACOXL	ENSG00000153093	2:110732539-111118548:1	protein_coding	acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]	Pan 2008	1	Llonch 2021	1	no
BCL2L11	ENSG00000153094	2:111119378-111168444:1	protein_coding	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	Barone 2020	1	.	0	yes
SCOC	ENSG00000153130	4:140257286-140385728:1	protein_coding	short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335]	.	0	Llonch 2021	1	yes
SMARCA5	ENSG00000153147	4:143513702-143557486:1	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	.	0	Steuerwald 2007	1	yes
RANBP2	ENSG00000153201	2:108719482-108785810:1	protein_coding	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]	.	0	Steuerwald 2007	1	yes
RBMS1	ENSG00000153250	2:160272151-160493807:-1	protein_coding	RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	Ntostis 2021, This study	2	.	0	yes
FEZF2	ENSG00000153266	3:62369681-62374324:-1	protein_coding	FEZ family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13506]	.	0	Barone 2020	1	yes
CD96	ENSG00000153283	3:111292719-111665750:1	protein_coding	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	Pan 2008	1	.	0	yes
LPCAT1	ENSG00000153395	5:1456480-1523962:-1	protein_coding	lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]	.	0	Llonch 2021	1	yes
UBALD1	ENSG00000153443	16:4608883-4615027:-1	protein_coding	UBA like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29576]	.	0	Barone 2020	1	yes
UBP1	ENSG00000153560	3:33388336-33441371:-1	protein_coding	upstream binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12507]	.	0	Pan 2008	1	yes
RMND5A	ENSG00000153561	2:86720291-86778041:1	protein_coding	required for meiotic nuclear division 5 homolog A [Source:HGNC Symbol;Acc:HGNC:25850]	Barone 2020	1	.	0	yes
RPIA	ENSG00000153574	2:88691673-88750929:1	protein_coding	ribose 5-phosphate isomerase A [Source:HGNC Symbol;Acc:HGNC:10297]	Ntostis 2021	1	.	0	yes
PTPRD	ENSG00000153707	9:8314246-10613002:-1	protein_coding	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	Pan 2008	1	.	0	yes
CFDP1	ENSG00000153774	16:75293698-75433503:-1	protein_coding	craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873]	Pan 2008	1	.	0	yes
CMIP	ENSG00000153815	16:81444808-81711762:1	protein_coding	c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]	This study	1	.	0	yes
SPHKAP	ENSG00000153820	2:227979955-228181687:-1	protein_coding	SPHK1 interactor, AKAP domain containing [Source:HGNC Symbol;Acc:HGNC:30619]	This study	1	.	0	yes
TRIP12	ENSG00000153827	2:229763837-229923239:-1	protein_coding	thyroid hormone receptor interactor 12 [Source:HGNC Symbol;Acc:HGNC:12306]	Steuerwald 2007	1	.	0	yes
FBXO36	ENSG00000153832	2:229922302-230013119:1	protein_coding	F-box protein 36 [Source:HGNC Symbol;Acc:HGNC:27020]	.	0	Barone 2020, Llonch 2021, Ntostis 2021	3	yes
DDAH1	ENSG00000153904	1:85318481-85578363:-1	protein_coding	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	.	0	Grondahl 2010	1	yes
SREK1	ENSG00000153914	5:66139971-66183615:1	protein_coding	splicing regulatory glutamic acid and lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:17882]	Llonch 2021	1	.	0	yes
HS2ST1	ENSG00000153936	1:86914635-87109982:1	protein_coding	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	This study	1	.	0	yes
PPP2R5E	ENSG00000154001	14:63371364-63543377:-1	protein_coding	protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]	.	0	Hamatini 2004, Pan 2008	2	yes
AK5	ENSG00000154027	1:77282019-77559966:1	protein_coding	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	.	0	Barone 2020	1	yes
CABYR	ENSG00000154040	18:24138987-24161600:1	protein_coding	calcium binding tyrosine phosphorylation regulated [Source:HGNC Symbol;Acc:HGNC:15569]	.	0	Barone 2020, Ntostis 2021	2	yes
ANKH	ENSG00000154122	5:14704800-14871778:-1	protein_coding	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	.	0	Barone 2020, Llonch 2021	2	yes
UBASH3B	ENSG00000154127	11:122655722-122814473:1	protein_coding	ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]	.	0	Barone 2020	1	yes
ROBO3	ENSG00000154134	11:124865432-124881471:1	protein_coding	roundabout guidance receptor 3 [Source:HGNC Symbol;Acc:HGNC:13433]	Barone 2020, Zhang 2020	2	.	0	yes
PRKCA	ENSG00000154229	17:66302613-66810743:1	protein_coding	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	Barone 2020	1	Steuerwald 2007	1	no
ABCA5	ENSG00000154265	17:69244311-69327244:-1	protein_coding	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	.	0	Grondahl 2010	1	yes
C4orf19	ENSG00000154274	4:37453925-37623495:1	protein_coding	chromosome 4 open reading frame 19 [Source:HGNC Symbol;Acc:HGNC:25618]	Barone 2020	1	.	0	yes
UCHL1	ENSG00000154277	4:41256413-41268455:1	protein_coding	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	.	0	Ntostis 2021	1	yes
MIA3	ENSG00000154305	1:222618097-222668007:1	protein_coding	MIA SH3 domain ER export factor 3 [Source:HGNC Symbol;Acc:HGNC:24008]	Llonch 2021	1	.	0	yes
DISP1	ENSG00000154309	1:222815022-223005995:1	protein_coding	dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]	This study	1	Zhang 2020	1	no
TNIK	ENSG00000154310	3:171058414-171460408:-1	protein_coding	TRAF2 and NCK interacting kinase [Source:HGNC Symbol;Acc:HGNC:30765]	Llonch 2021	1	Barone 2020	1	no
PPP1R3A	ENSG00000154415	7:113876777-114075920:-1	protein_coding	protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]	.	0	Barone 2020	1	yes
SH3RF1	ENSG00000154447	4:169094259-169270956:-1	protein_coding	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	This study	1	.	0	yes
BUB3	ENSG00000154473	10:123154402-123170467:1	protein_coding	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	.	0	Llonch 2021, Steuerwald 2007	2	yes
ATP5MC3	ENSG00000154518	2:175176258-175181710:-1	protein_coding	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	.	0	Llonch 2021	1	yes
SRSF12	ENSG00000154548	6:89095959-89118071:-1	protein_coding	serine and arginine rich splicing factor 12 [Source:HGNC Symbol;Acc:HGNC:21220]	.	0	Llonch 2021	1	yes
ELOC	ENSG00000154582	8:73939169-73972307:-1	protein_coding	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	.	0	Llonch 2021	1	yes
LY96	ENSG00000154589	8:73991392-74029079:1	protein_coding	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	Pan 2008	1	.	0	yes
BTG3	ENSG00000154640	21:17593653-17612945:-1	protein_coding	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	Pan 2008	1	.	0	yes
PDE1C	ENSG00000154678	7:31751179-32428131:-1	protein_coding	phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]	This study	1	.	0	yes
RABGEF1	ENSG00000154710	7:66682164-66811464:1	protein_coding	RAB guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:17676]	Yuan 2021	1	.	0	yes
MRPL39	ENSG00000154719	21:25585656-25607517:-1	protein_coding	mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027]	Pan 2008	1	Ntostis 2021	1	no
JAM2	ENSG00000154721	21:25639258-25717562:1	protein_coding	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	Barone 2020	1	.	0	yes
ATP5PF	ENSG00000154723	21:25716503-25735673:-1	protein_coding	ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	.	0	Llonch 2021	1	yes
XPC	ENSG00000154767	3:14145147-14178621:-1	protein_coding	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	Llonch 2021, This study	2	.	0	yes
CCDC174	ENSG00000154781	3:14651762-14672659:1	protein_coding	coiled-coil domain containing 174 [Source:HGNC Symbol;Acc:HGNC:28033]	Barone 2020, Llonch 2021	2	.	0	yes
FGD5	ENSG00000154783	3:14810853-14934571:1	protein_coding	FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]	.	0	Barone 2020	1	yes
FLCN	ENSG00000154803	17:17212212-17237188:-1	protein_coding	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	Barone 2020	1	Pan 2008	1	no
CXXC1	ENSG00000154832	18:50282343-50287839:-1	protein_coding	CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]	.	0	Pan 2008	1	yes
USP43	ENSG00000154914	17:9644698-9729687:1	protein_coding	ubiquitin specific peptidase 43 [Source:HGNC Symbol;Acc:HGNC:20072]	This study	1	.	0	yes
EME1	ENSG00000154920	17:50373220-50381483:1	protein_coding	essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965]	.	0	Grondahl 2010	1	yes
EPHB1	ENSG00000154928	3:134795260-135260467:1	protein_coding	EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]	Barone 2020	1	.	0	yes
ZNF18	ENSG00000154957	17:11977439-11997475:-1	protein_coding	zinc finger protein 18 [Source:HGNC Symbol;Acc:HGNC:12969]	Barone 2020	1	.	0	yes
CA10	ENSG00000154975	17:51630313-52160017:-1	protein_coding	carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]	Pan 2008	1	.	0	yes
VOPP1	ENSG00000154978	7:55436056-55572988:-1	protein_coding	VOPP1 WW domain binding protein [Source:HGNC Symbol;Acc:HGNC:34518]	.	0	Llonch 2021	1	yes
RSPH10B	ENSG00000155026	7:5925550-5970689:-1	protein_coding	radial spoke head 10 homolog B [Source:HGNC Symbol;Acc:HGNC:27362]	Yuan 2021	1	.	0	yes
FBXL18	ENSG00000155034	7:5431335-5513809:-1	protein_coding	F-box and leucine rich repeat protein 18 [Source:HGNC Symbol;Acc:HGNC:21874]	Barone 2020	1	.	0	yes
AK9	ENSG00000155085	6:109492855-109691217:-1	protein_coding	adenylate kinase 9 [Source:HGNC Symbol;Acc:HGNC:33814]	Llonch 2021	1	.	0	yes
PTPRN2	ENSG00000155093	7:157539056-158587823:-1	protein_coding	protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]	.	0	Llonch 2021	1	yes
AZIN1	ENSG00000155096	8:102826111-102893864:-1	protein_coding	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]	.	0	Barone 2020, Llonch 2021	2	yes
ATP6V1C1	ENSG00000155097	8:103021063-103073051:1	protein_coding	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	.	0	Barone 2020, Pan 2008, Yuan 2021	3	yes
OTUD6B	ENSG00000155100	8:91070196-91087095:1	protein_coding	OTU deubiquitinase 6B [Source:HGNC Symbol;Acc:HGNC:24281]	This study	1	Ntostis 2021	1	no
MMS19	ENSG00000155229	10:97458324-97498794:-1	protein_coding	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]	.	0	Reyes 2017	1	yes
PI4K2A	ENSG00000155252	10:97640671-97676434:1	protein_coding	phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]	.	0	Hamatini 2004	1	yes
HSPA13	ENSG00000155304	21:14371115-14383484:-1	protein_coding	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	.	0	Ntostis 2021	1	yes
USP25	ENSG00000155313	21:15729982-15880064:1	protein_coding	ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:HGNC:12624]	Llonch 2021	1	.	0	yes
GRAMD2B	ENSG00000155324	5:126360132-126496494:1	protein_coding	GRAM domain containing 2B [Source:HGNC Symbol;Acc:HGNC:24911]	Llonch 2021	1	.	0	yes
C16orf87	ENSG00000155330	16:46796603-46831180:-1	protein_coding	chromosome 16 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33754]	Barone 2020	1	.	0	yes
MOV10	ENSG00000155363	1:112673141-112700756:1	protein_coding	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	Grondahl 2010	1	.	0	yes
CNOT8	ENSG00000155508	5:154857553-154876792:1	protein_coding	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	.	0	Pan 2008	1	yes
GRIA1	ENSG00000155511	5:153489615-153813869:1	protein_coding	glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	.	0	Ntostis 2021	1	yes
NUP205	ENSG00000155561	7:135557917-135648757:1	protein_coding	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	This study	1	.	0	yes
ZKSCAN2	ENSG00000155592	16:25236001-25257845:-1	protein_coding	zinc finger with KRAB and SCAN domains 2 [Source:HGNC Symbol;Acc:HGNC:25677]	This study	1	.	0	yes
RBM45	ENSG00000155636	2:178112424-178139011:1	protein_coding	RNA binding motif protein 45 [Source:HGNC Symbol;Acc:HGNC:24468]	This study	1	.	0	yes
TTN	ENSG00000155657	2:178525989-178830802:-1	protein_coding	titin [Source:HGNC Symbol;Acc:HGNC:12403]	Llonch 2021	1	.	0	yes
PDIA4	ENSG00000155660	7:149003062-149028662:-1	protein_coding	protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]	.	0	Ntostis 2021	1	yes
C2CD6	ENSG00000155754	2:201487421-201619178:-1	protein_coding	C2 calcium dependent domain containing 6 [Source:HGNC Symbol;Acc:HGNC:14438]	.	0	This study	1	yes
TMEM237	ENSG00000155755	2:201620184-201643570:-1	protein_coding	transmembrane protein 237 [Source:HGNC Symbol;Acc:HGNC:14432]	.	0	Ntostis 2021	1	yes
DEPTOR	ENSG00000155792	8:119873717-120050918:1	protein_coding	DEP domain containing MTOR interacting protein [Source:HGNC Symbol;Acc:HGNC:22953]	This study	1	.	0	yes
RNF20	ENSG00000155827	9:101533853-101563344:1	protein_coding	ring finger protein 20 [Source:HGNC Symbol;Acc:HGNC:10062]	Llonch 2021, Yuan 2021	2	.	0	yes
PPARGC1B	ENSG00000155846	5:149730298-149855022:1	protein_coding	PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]	Pan 2008	1	.	0	yes
MED7	ENSG00000155868	5:157137424-157159019:-1	protein_coding	mediator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:2378]	.	0	Reyes 2017	1	yes
SLC24A2	ENSG00000155886	9:19507452-19789037:-1	protein_coding	solute carrier family 24 member 2 [Source:HGNC Symbol;Acc:HGNC:10976]	.	0	This study	1	yes
PXYLP1	ENSG00000155893	3:141228726-141367753:1	protein_coding	2-phosphoxylose phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:26303]	Barone 2020	1	.	0	yes
VBP1	ENSG00000155959	X:155197007-155239841:1	protein_coding	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	.	0	Hamatini 2004	1	yes
RAB39B	ENSG00000155961	X:155258235-155264491:-1	protein_coding	RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16499]	Pan 2008	1	.	0	yes
DCK	ENSG00000156136	4:70992538-71030914:1	protein_coding	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	.	0	Zhang 2020	1	yes
NDUFAF6	ENSG00000156170	8:94895533-95116455:1	protein_coding	NADH:ubiquinone oxidoreductase complex assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:28625]	.	0	Llonch 2021, Ntostis 2021	2	yes
PPEF2	ENSG00000156194	4:75859864-75902571:-1	protein_coding	protein phosphatase with EF-hand domain 2 [Source:HGNC Symbol;Acc:HGNC:9244]	Barone 2020	1	.	0	yes
N6AMT1	ENSG00000156239	21:28872191-28885371:-1	protein_coding	N-6 adenine-specific DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:16021]	This study	1	Ntostis 2021	1	no
USP16	ENSG00000156256	21:29024629-29054488:1	protein_coding	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	Llonch 2021	1	.	0	yes
BACH1	ENSG00000156273	21:29194071-29630751:1	protein_coding	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]	.	0	Steuerwald 2007	1	yes
TIAM1	ENSG00000156299	21:31118416-31559977:-1	protein_coding	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	.	0	Mishina 2021	1	yes
SCAF4	ENSG00000156304	21:31671000-31732118:-1	protein_coding	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]	.	0	Barone 2020	1	yes
RPGR	ENSG00000156313	X:38269163-38327544:-1	protein_coding	retinitis pigmentosa GTPase regulator [Source:HGNC Symbol;Acc:HGNC:10295]	Yuan 2021	1	Steuerwald 2007	1	no
CDK20	ENSG00000156345	9:87966441-87974753:-1	protein_coding	cyclin dependent kinase 20 [Source:HGNC Symbol;Acc:HGNC:21420]	This study	1	.	0	yes
SFR1	ENSG00000156384	10:104122058-104126385:1	protein_coding	SWI5 dependent homologous recombination repair protein 1 [Source:HGNC Symbol;Acc:HGNC:29574]	Barone 2020	1	.	0	yes
SORCS3	ENSG00000156395	10:104641290-105265242:1	protein_coding	sortilin related VPS10 domain containing receptor 3 [Source:HGNC Symbol;Acc:HGNC:16699]	Llonch 2021	1	.	0	yes
SFXN2	ENSG00000156398	10:102714538-102743492:1	protein_coding	sideroflexin 2 [Source:HGNC Symbol;Acc:HGNC:16086]	Pan 2008	1	Llonch 2021	1	no
PPP2R2B	ENSG00000156475	5:146580742-147084784:-1	protein_coding	protein phosphatase 2 regulatory subunit Bbeta [Source:HGNC Symbol;Acc:HGNC:9305]	Llonch 2021	1	.	0	yes
RPL30	ENSG00000156482	8:98024851-98046469:-1	protein_coding	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	.	0	Yuan 2021	1	yes
SUPV3L1	ENSG00000156502	10:69180234-69209099:1	protein_coding	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	.	0	Hamatini 2004	1	yes
EEF1A1	ENSG00000156508	6:73489308-73525587:-1	protein_coding	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	Pan 2008	1	Hamatini 2004	1	no
PHF6	ENSG00000156531	X:134373288-134428791:1	protein_coding	PHD finger protein 6 [Source:HGNC Symbol;Acc:HGNC:18145]	Llonch 2021	1	.	0	yes
CD109	ENSG00000156535	6:73695785-73828316:1	protein_coding	CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]	Llonch 2021	1	.	0	yes
NODAL	ENSG00000156574	10:70431936-70447951:-1	protein_coding	nodal growth differentiation factor [Source:HGNC Symbol;Acc:HGNC:7865]	Ntostis 2021, This study	2	.	0	yes
MED19	ENSG00000156603	11:57703710-57712221:-1	protein_coding	mediator complex subunit 19 [Source:HGNC Symbol;Acc:HGNC:29600]	.	0	Barone 2020	1	yes
ZFAND3	ENSG00000156639	6:37819727-38154624:1	protein_coding	zinc finger AN1-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18019]	This study	1	.	0	yes
SAMD8	ENSG00000156671	10:75099586-75182123:1	protein_coding	sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]	.	0	This study	1	yes
AIFM1	ENSG00000156709	X:130124666-130165879:-1	protein_coding	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	This study	1	Barone 2020	1	no
MAPK13	ENSG00000156711	6:36127809-36144524:1	protein_coding	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	Steuerwald 2007	1	.	0	yes
BAG4	ENSG00000156735	8:38176533-38213301:1	protein_coding	BAG cochaperone 4 [Source:HGNC Symbol;Acc:HGNC:940]	Barone 2020, Pan 2008	2	.	0	yes
NSMCE2	ENSG00000156831	8:125091679-125367120:1	protein_coding	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	.	0	Barone 2020	1	yes
PRR14	ENSG00000156858	16:30650717-30656413:1	protein_coding	proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]	Yuan 2021	1	Barone 2020	1	no
FBRS	ENSG00000156860	16:30658431-30670810:1	protein_coding	fibrosin [Source:HGNC Symbol;Acc:HGNC:20442]	This study	1	.	0	yes
COX6A2	ENSG00000156885	16:31427731-31428360:-1	protein_coding	cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]	Pan 2008	1	.	0	yes
MALSU1	ENSG00000156928	7:23298739-23311729:1	protein_coding	mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]	This study	1	Barone 2020	1	no
B3GNT7	ENSG00000156966	2:231395710-231401164:1	protein_coding	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18811]	.	0	Barone 2020	1	yes
BUB1B	ENSG00000156970	15:40161023-40221123:1	protein_coding	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	.	0	Pan 2008, Steuerwald 2007	2	yes
